,orignal,observed,seasonal,trend,resid,weights,,,orignal,seasonal,trend,resid
0,60,60,-218.399969,,,,,0,60,-219.7819444,,
1,53,53,-218.8332658,,,,,1,53,-220.5319444,,
2,65,65,-219.4806525,,,,,2,65,-220.5319444,,
3,53,53,-225.0221364,,,,,3,53,-226.3819444,,
4,51,51,-229.3480684,,,,,4,51,-230.5819444,,
5,60,60,-240.2574251,,,,,5,60,-240.4819444,,
6,55,55,-240.4270158,,,,,6,55,-240.8819444,,
7,51,51,-226.1224653,,,,,7,51,-227.4819444,,
8,37,37,-232.1398264,,,,,8,37,-233.8819444,,
9,52,52,-233.7873045,,,,,9,52,-234.6819444,,
10,40,40,-246.595053,,,,,10,40,-247.4319444,,
11,51,51,-251.1913615,,,,,11,51,-251.2319444,,
12,33,33,-249.6764675,,,,,12,33,-250.6819444,,
13,34,34,-253.6849653,,,,,13,34,-254.4319444,,
14,45,45,-246.4839419,,,,,14,45,-247.0319444,,
15,38,38,-250.2340333,,,,,15,38,-250.9319444,,
16,37,37,-255.5149178,,,,,16,37,-255.9819444,,
17,34,34,-253.9523264,,,,,17,34,-254.6319444,,
18,33,33,-260.0692855,,,,,18,33,-260.4819444,,
19,35,35,-255.870181,,,,,19,35,-256.3819444,,
20,25,25,-252.8317124,,,,,20,25,-253.9819444,,
21,43,43,-257.5820779,,,,,21,43,-257.5819444,,
22,29,29,-259.5415077,,,,,22,29,-260.1319444,,
23,24,24,-264.344322,,,,,23,24,-264.9319444,,
24,26,26,-264.463931,,,,,24,26,-264.9319444,,
25,25,25,-262.8483425,,,,,25,25,-263.4319444,,
26,33,33,-259.7004076,,,,,26,33,-260.0319444,,
27,34,34,-258.8106049,,,,,27,34,-259.1319444,,
28,32,32,-260.5587775,,,,,28,32,-260.8819444,,
29,26,26,-266.196844,,,,,29,26,-266.5319444,,
30,27,27,-266.7183169,,,,,30,27,-266.9819444,,
31,32,32,-266.190265,,,,,31,32,-266.2319444,,
32,31,31,-259.2934266,,,,,32,31,-259.7319444,,
33,26,26,-265.4997497,,,,,33,26,-265.8819444,,
34,15,15,-266.5550311,,,,,34,15,-267.4319444,,
35,20,20,-266.6642234,,,,,35,20,-267.2819444,,
36,21,21,-273.3016503,,,,,36,21,-273.5319444,,
37,23,23,-272.7780757,,,,,37,23,-272.9319444,,
38,20,20,-273.6140589,,,,,38,20,-273.8819444,,
39,29,29,-276.2887665,,,,,39,29,-275.9819444,,
40,19,19,-276.7068038,,,,,40,19,-276.8819444,,
41,14,14,-276.9159595,,,,,41,14,-277.3319444,,
42,26,26,-276.542787,,,,,42,26,-276.3819444,,
43,28,28,-276.067458,,,,,43,28,-275.8319444,,
44,27,27,-272.9007913,,,,,44,27,-272.8819444,,
45,22,22,-272.1982146,,,,,45,22,-272.4819444,,
46,17,17,-275.3917453,,,,,46,17,-275.7819444,,
47,16,16,-276.9557073,,,,,47,16,-277.3319444,,
48,35,35,-274.676833,,,,,48,35,-274.2319444,,
49,19,19,-272.2419829,,,,,49,19,-272.7319444,,
50,18,18,-269.863602,,,,,50,18,-270.5319444,,
51,25,25,-270.5392234,,,,,51,25,-270.8319444,,
52,21,21,-269.5850019,,,,,52,21,-270.1319444,,
53,35,35,-268.8974105,,,,,53,35,-268.7819444,,
54,30,30,-263.7351298,,,,,54,30,-264.1319444,,
55,53,53,-260.7298301,,,,,55,53,-260.1319444,,
56,27,27,-255.7250786,,,,,56,27,-256.6819444,,
57,46,46,-256.9318586,,,,,57,46,-256.8819444,,
58,47,47,-255.9818403,,,,,58,47,-255.9319444,,
59,32,32,-256.1871583,,,,,59,32,-256.8819444,,
60,45,45,-256.6547204,,,,,60,45,-256.6819444,,
61,43,43,-249.2287336,,,,,61,43,-249.7319444,,
62,69,69,-234.2232511,,,,,62,69,-234.1819444,,
63,88,88,-224.1683352,,,,,63,88,-223.6819444,,
64,79,79,-222.1163432,,,,,64,79,-222.1819444,,
65,93,93,-214.1697058,,,,,65,93,-213.9319444,,
66,101,101,-201.1176225,,,,,66,101,-201.1319444,,
67,111,111,-178.6415625,,,,,67,111,-179.2819444,,
68,145,145,-159.5836313,,,,,68,145,-159.4819444,,
69,152,152,-146.8445962,,,,,69,152,-147.0319444,,
70,136,136,-149.5826261,,,,,70,136,-150.4319444,,
71,171,171,-152.4256451,,,,,71,171,-151.3819444,,
72,163,163,-152.6358973,,,,,72,163,-151.9819444,,
73,174,174,-132.3716429,,,,,73,174,-132.1819444,,
74,215,215,-106.5805245,,,,,74,215,-105.6319444,,
75,217,217,-65.7937007,,,,,75,217,-66.78194444,,
76,262,262,-33.11807935,,,,,76,262,-33.48194444,,
77,292,292,-17.44510786,,,,,77,292,-17.08194444,,
78,300,300,10.0159667,,,,,78,300,9.418055556,,
79,351,351,53.16499813,,,,,79,351,52.96805556,,
80,390,390,79.63109828,,,,,80,390,80.06805556,,
81,474,474,113.9389382,,,,,81,474,116.8680556,,
82,448,448,117.2500676,,,,,82,448,118.7180556,,
83,391,391,64.50719477,,,,,83,391,65.76805556,,
84,376,376,83.81110559,,,,,84,376,83.36805556,,
85,380,380,111.3705902,,,,,85,380,109.7680556,,
86,433,433,155.2500676,,,,,86,433,154.1180556,,
87,495,495,181.7712664,,,,,87,495,182.4180556,,
88,490,490,214.7661495,,,,,88,490,213.5180556,,
89,539,539,222.497235,,,,,89,539,223.3180556,,
90,506,506,218.0707913,,,,,90,506,217.4680556,,
91,602,602,267.1696582,,,,,91,602,268.9180556,,
92,632,632,304.2666063,,,,,92,632,305.6680556,,
93,562,562,300.2084923,,,,,93,562,298.3180556,,
94,503,503,286.7329806,,,,,94,503,282.5680556,,
95,503,503,254.9428673,,,,,95,503,252.3680556,,
96,494,494,230.5732584,,,,,96,494,228.7680556,,
97,503,503,227.5788322,,,,,97,503,226.3680556,,
98,502,502,216.8491173,,,,,98,502,216.1180556,,
99,499,499,220.6401443,,,,,99,499,219.5680556,,
100,515,515,210.2183607,,,,,100,515,210.4680556,,
101,528,528,200.7417525,,,,,101,528,202.1180556,,
102,550,550,185.635667,,,,,102,550,188.8680556,,
103,448,448,184.053887,,,,,103,448,182.2680556,,
104,472,472,191.3143951,,,,,104,472,190.3680556,,
105,470,470,190.1024068,,,,,105,470,189.1180556,,
106,458,458,170.5686897,,,,,106,458,169.9680556,,
107,391,391,122.3487518,,,,,107,391,120.8180556,,
108,374,374,99.65677445,,,,,108,374,98.41805556,,
109,344,344,87.91682562,,,,,109,344,85.76805556,,
110,375,375,99.02126641,,,,,110,375,97.86805556,,
111,356,356,96.17587167,,,,,111,356,94.21805556,,
112,385,385,95.64635778,,,,,112,385,95.16805556,,
113,379,379,82.48160998,,,,,113,379,82.36805556,,
114,350,350,77.41609463,,,,,114,350,76.11805556,,
115,372,372,85.34591919,,,,,115,372,84.76805556,,
116,353,353,91.59217284,,,,,116,353,89.76805556,,
117,354,354,97.25929638,,,,,117,354,95.21805556,,
118,363,363,94.44643088,,,,,118,363,93.01805556,,
119,357,357,55.94725325,,,,,119,357,56.16805556,,
120,363,363,52.40010413,,,,,120,363,53.11805556,,
121,317,317,44.53753103,,,,,121,317,43.36805556,,
122,322,322,60.72594477,,,,,122,322,59.01805556,,
123,334,334,62.49321451,,,,,123,334,61.31805556,,
124,347,347,47.78670866,,,,,124,347,48.01805556,,
125,317,317,44.50271743,,,,,125,317,43.41805556,,
126,371,371,54.74586436,,,,,126,371,55.86805556,,
127,326,326,45.51423059,,,,,127,326,44.86805556,,
128,326,326,57.28424156,,,,,128,326,56.06805556,,
129,313,313,68.1594243,,,,,129,313,65.76805556,,
130,349,349,60.18619696,,,,,130,349,60.01805556,,
131,324,324,52.73425983,,,,,131,324,51.71805556,,
132,307,307,53.06996889,,,,,132,307,51.21805556,,
133,320,320,58.82673059,,,,,133,320,57.36805556,,
134,326,326,82.53497255,,,,,134,326,80.21805556,,
135,359,359,77.09007123,,,,,135,359,76.71805556,,
136,354,354,92.85459974,,,,,136,354,91.46805556,,
137,356,356,87.30333878,,,,,137,356,86.31805556,,
138,378,378,77.17870427,,,,,138,378,77.81805556,,
139,359,359,84.42358732,,,,,139,359,83.76805556,,
140,372,372,101.6685617,,,,,140,372,100.8180556,,
141,378,378,107.6516575,,,,,141,378,106.8180556,,
142,399,399,108.9515478,,,,,142,399,109.1180556,,
143,351,351,86.35916846,,,,,143,351,85.26805556,,
144,363,363,92.0042708,285.1302083,-14.13447913,,,144,363,93.41805556,285.1302083,-15.54826389
145,358,358,93.10286363,285.1927083,-20.29557196,,,145,358,93.91805556,285.1927083,-21.11076389
146,382,382,115.8331268,285.2274306,-19.06055734,,,146,382,118.9680556,285.2274306,-22.19548611
147,402,402,113.0399981,285.2708333,3.689168532,,,147,402,114.7180556,285.2708333,2.011111111
148,397,397,118.5102101,285.3524306,-6.862640678,,,148,397,119.5180556,285.3524306,-7.870486111
149,373,373,123.4012006,285.4114583,-35.81265895,,,149,373,125.5680556,285.4114583,-37.97951389
150,413,413,128.7670632,285.4184028,-1.185465971,,,150,413,128.4680556,285.4184028,-0.886458333
151,396,396,126.9726553,285.4513889,-16.42404419,,,151,396,129.8680556,285.4513889,-19.31944444
152,373,373,139.4392123,285.53125,-51.97046232,,,152,373,139.9680556,285.53125,-52.49930556
153,377,377,134.5906195,285.609375,-43.19999448,,,153,377,135.3680556,285.609375,-43.97743056
154,395,395,133.3240807,285.6597222,-23.98380296,,,154,395,136.5680556,285.6597222,-27.22777778
155,391,391,115.0595522,285.6753472,-9.73489945,,,155,391,117.0180556,285.6753472,-11.69340278
156,370,370,108.3720522,285.6909722,-24.06302445,,,156,370,108.3680556,285.6909722,-24.05902778
157,412,412,112.0528819,285.71875,14.22836809,,,157,412,113.6180556,285.71875,12.66319444
158,414,414,122.1019499,285.7517361,6.146314,,,158,414,124.1680556,285.7517361,4.080208333
159,392,392,130.9933059,285.7777778,-24.77108366,,,159,392,132.6680556,285.7777778,-26.44583333
160,370,370,120.6214126,285.796875,-36.41828761,,,160,370,123.0180556,285.796875,-38.81493056
161,387,387,120.7754696,285.8420139,-19.61748351,,,161,387,121.9680556,285.8420139,-20.81006944
162,390,390,126.0361604,285.875,-21.91116042,,,162,390,126.6180556,285.875,-22.49305556
163,422,422,146.6659119,285.9027778,-10.56868965,,,163,422,148.1680556,285.9027778,-12.07083333
164,412,412,156.031409,285.96875,-30.00015895,,,164,412,157.7180556,285.96875,-31.68680556
165,407,407,158.9238614,286.0017361,-37.92559755,,,165,407,158.7180556,286.0017361,-37.71979167
166,399,399,156.3967233,286.0277778,-43.42450106,,,166,399,156.6180556,286.0277778,-43.64583333
167,411,411,142.4457913,286.0711806,-17.51697182,,,167,411,143.9680556,286.0711806,-19.03923611
168,439,439,143.5472167,286.0815972,9.371186076,,,168,439,146.9680556,286.0815972,5.950347222
169,455,455,200.6496473,286.1059028,-31.75555004,,,169,455,202.3680556,286.1059028,-33.47395833
170,506,506,228.7521692,286.1336806,-8.885849743,,,170,506,227.9680556,286.1336806,-8.101736111
171,485,485,219.8026992,286.1545139,-20.95721305,,,171,485,219.3180556,286.1545139,-20.47256944
172,462,462,227.3797277,286.1979167,-51.57764433,,,172,462,227.9680556,286.1979167,-52.16597222
173,531,531,236.5357949,286.2326389,8.231566193,,,173,531,234.8680556,286.2326389,9.899305556
174,519,519,225.6920449,286.2482639,7.059691193,,,174,519,223.0180556,286.2482639,9.733680556
175,528,528,244.4797825,286.2517361,-2.731518602,,,175,528,243.9680556,286.2517361,-2.219791667
176,561,561,253.161069,286.2552083,21.58372263,,,176,561,251.0180556,286.2552083,23.72673611
177,522,522,249.6842781,286.28125,-13.96552811,,,177,522,247.4680556,286.28125,-11.74930556
178,505,505,226.7859777,286.3385417,-8.124519333,,,178,505,226.9180556,286.3385417,-8.256597222
179,531,531,226.8338578,286.3923611,17.77378111,,,179,531,226.9180556,286.3923611,17.68958333
180,472,472,213.1985325,286.3975694,-27.59610194,,,180,472,213.4180556,286.3975694,-27.815625
181,526,526,246.4085106,286.4027778,-6.811288339,,,181,526,243.5680556,286.4027778,-3.970833333
182,573,573,257.038993,286.4201389,29.54086809,,,182,573,255.2680556,286.4201389,31.31180556
183,579,579,237.8270961,286.4322917,54.74061225,,,183,579,236.2180556,286.4322917,56.34965278
184,529,529,232.1954258,286.4375,10.36707423,,,184,529,233.0180556,286.4375,9.544444444
185,577,577,225.773368,286.4444444,64.78218754,,,185,577,225.5680556,286.4444444,64.9875
186,507,507,224.5631158,286.4409722,-4.004088047,,,186,507,222.8180556,286.4409722,-2.259027778
187,517,517,208.8795449,286.4079861,21.71246897,,,187,517,208.2180556,286.4079861,22.37395833
188,576,576,218.7213761,286.3871528,70.89147116,,,188,576,216.8180556,286.3871528,72.79479167
189,538,538,208.2991356,286.3854167,43.31544777,,,189,538,203.4680556,286.3854167,48.14652778
190,479,479,181.1395961,286.4027778,11.45762613,,,190,479,177.0180556,286.4027778,15.57916667
191,505,505,170.2432145,286.4253472,48.33143827,,,191,505,166.7680556,286.4253472,51.80659722
192,515,515,168.7172642,286.4184028,59.86433301,,,192,515,166.6180556,286.4184028,61.96354167
193,513,513,178.8221619,286.3993056,47.77853257,,,193,513,176.3680556,286.3993056,50.23263889
194,541,541,185.2407474,286.4184028,69.34084982,,,194,541,185.7180556,286.4184028,68.86354167
195,542,542,191.7136092,286.4375,63.84889075,,,195,542,190.8180556,286.4375,64.74444444
196,522,522,193.1862883,286.4322917,42.38141999,,,196,522,193.2680556,286.4322917,42.29965278
197,524,524,174.711599,286.4357639,62.8526371,,,197,524,175.6680556,286.4357639,61.89618056
198,520,520,165.342447,286.4513889,68.20616415,,,198,520,166.1680556,286.4513889,67.38055556
199,495,495,169.1321948,286.4166667,39.45113856,,,199,495,168.4180556,286.4166667,40.16527778
200,544,544,187.1837299,286.4010417,70.41522847,,,200,544,188.4180556,286.4010417,69.18090278
201,503,503,170.9184704,286.3993056,45.68222409,,,201,503,171.0680556,286.3993056,45.53263889
202,508,508,165.761398,286.3559028,55.88269923,,,202,508,166.8680556,286.3559028,54.77604167
203,533,533,165.1809886,286.3611111,81.45790026,,,203,533,165.7180556,286.3611111,80.92083333
204,501,501,166.2840588,286.3836806,48.33226064,,,204,501,166.5180556,286.3836806,48.09826389
205,520,520,168.3884996,286.3993056,65.21219485,,,205,520,168.7680556,286.3993056,64.83263889
206,538,538,167.9668987,286.3923611,83.64074017,,,206,538,169.6680556,286.3923611,81.93958333
207,515,515,157.7065734,286.3680556,70.92537102,,,207,515,160.1180556,286.3680556,68.51388889
208,461,461,153.340985,286.34375,21.31526502,,,208,461,153.5180556,286.34375,21.13819444
209,500,500,158.2366356,286.3003472,55.46301722,,,209,500,159.9180556,286.3003472,53.78159722
210,496,496,144.7646875,286.2881944,64.94711809,,,210,496,147.0180556,286.2881944,62.69375
211,518,518,154.8726918,286.3177083,76.80959982,,,211,518,156.0180556,286.3177083,75.66423611
212,536,536,165.3474725,286.3732639,84.27926356,,,212,536,166.9680556,286.3732639,82.65868056
213,516,516,165.926694,286.4027778,63.67052818,,,213,516,168.1180556,286.4027778,61.47916667
214,475,475,153.9775895,286.421875,34.60053549,,,214,475,154.9680556,286.421875,33.61006944
215,470,470,168.3997386,286.4357639,15.16449748,,,215,470,168.0180556,286.4357639,15.54618056
216,449,449,179.0364345,286.3975694,-16.43400398,,,216,449,176.8180556,286.3975694,-14.215625
217,418,418,184.9350091,286.3385417,-53.27355077,,,217,418,180.6680556,286.3385417,-49.00659722
218,466,466,186.4664418,286.3020833,-6.768525181,,,218,466,184.4180556,286.3020833,-4.720138889
219,407,407,189.732341,286.3368056,-69.06914653,,,219,407,187.0180556,286.3368056,-66.35486111
220,428,428,178.4149981,286.3732639,-36.78826202,,,220,428,178.1180556,286.3732639,-36.49131944
221,373,373,159.1528454,286.4079861,-72.56083147,,,221,373,157.7180556,286.4079861,-71.12604167
222,338,338,168.0512372,286.4913194,-116.5425566,,,222,338,164.5180556,286.4913194,-113.009375
223,345,345,144.5786495,286.5729167,-86.15156612,,,223,345,140.4180556,286.5729167,-81.99097222
224,369,369,133.5286677,286.6388889,-51.16755661,,,224,369,132.5680556,286.6388889,-50.20694444
